owner,player,points,reason,episode
Nate,Mike White,5,EpTitle,1
Ian,Genevieve,5,Idol,1
Nate,Q,3,Journey,1
Rachel,Coach,3,Journey,1
Rachel,Ozzy,3,Journey,1
Rachel,Cirie,5,Advantage,1
Rachel,Jenna,-4,Out,1
Nate,Q,-1,VoteLoss,1
Nate,Colby,-1,VoteLoss,1
Nate,Ozzy,-1,VoteLoss,1
Ian,Savannah,5,Advantage,1
Nate,Colby,3,Journey,1
Ian,Savannah,3,Journey,1
Nate,Mike White,3,Journey,1
Nate,Christian,5,EpTitle,2
Nate,Christian,5,Idol,2
Ian,Savannah,-4,Out,2
Nate,Christian,5,EpTitle,3
Nate,Q,-4,Out,3
Ian,Genevieve,5,Idol,4
Nate,Christian,5,EpTitle,4
Nate,Mike White,-4,Out,4
Rachel,Emily,3,CorrectVote,4
Nate,Christian,3,CorrectVote,4
Nate,Stephanie,3,CorrectVote,4
Ian,Charlie,5,EpTitle,5
Nate,Colby,2,TribeReward,1
,Stephenie,2,TribeReward,1
Nate,Angelina,2,TribeReward,1
Ian,Genevieve,2,TribeReward,1
Ian,Kyle,2,TribeReward,1
Nate,Q,2,TribeReward,1
,Rizo,2,TribeReward,1
Rachel,Aubry,2,TribeReward,1
Ian,Charlie,3,TribeImmu,1
Nate,Chrissy,3,TribeImmu,1
Rachel,Dee,3,TribeImmu,1
Rachel,Coach,3,TribeImmu,1
,Jonathan,3,TribeImmu,1
Nate,Kamilla,3,TribeImmu,1
,Mike,3,TribeImmu,1
Ian,Tiffany,3,TribeImmu,1
Rachel,Jenna,-1,TribeLoss,1
Nate,Christian,-1,TribeLoss,1
Rachel,Cirie,-1,TribeLoss,1
Rachel,Ozzy,-1,TribeLoss,1
Ian,Savannah,-1,TribeLoss,1
Ian,Joe,-1,TribeLoss,1
,Rick,-1,TribeLoss,1
Rachel,Emily,-1,TribeLoss,1
Rachel,Jenna,3,CorrectVote,1
Nate,Christian,3,CorrectVote,1
Rachel,Cirie,3,CorrectVote,1
Rachel,Ozzy,3,CorrectVote,1
Ian,Savannah,3,CorrectVote,1
Ian,Joe,3,CorrectVote,1
,Rick,3,CorrectVote,1
Rachel,Emily,3,CorrectVote,1
Nate,Colby,3,TribeImmu,2
,Stephenie,3,TribeImmu,2
Nate,Angelina,3,TribeImmu,2
Ian,Genevieve,3,TribeImmu,2
Ian,Kyle,3,TribeImmu,2
Nate,Q,3,TribeImmu,2
,Rizo,3,TribeImmu,2
Rachel,Aubry,3,TribeImmu,2
Ian,Charlie,3,TribeImmu,2
Nate,Chrissy,3,TribeImmu,2
Rachel,Dee,3,TribeImmu,2
Rachel,Coach,3,TribeImmu,2
,Jonathan,3,TribeImmu,2
Nate,Kamilla,3,TribeImmu,2
,Mike,3,TribeImmu,2
Ian,Tiffany,3,TribeImmu,2
Nate,Colby,2,TribeReward,2
,Stephenie,2,TribeReward,2
Nate,Angelina,2,TribeReward,2
Ian,Genevieve,2,TribeReward,2
Ian,Kyle,2,TribeReward,2
Nate,Q,2,TribeReward,2
,Rizo,2,TribeReward,2
Rachel,Aubry,2,TribeReward,2
Rachel,Jenna,-1,TribeLoss,2
Nate,Christian,-1,TribeLoss,2
Rachel,Cirie,-1,TribeLoss,2
Rachel,Ozzy,-1,TribeLoss,2
Ian,Savannah,-1,TribeLoss,2
Ian,Joe,-1,TribeLoss,2
,Rick,-1,TribeLoss,2
Rachel,Emily,-1,TribeLoss,2
Rachel,Jenna,3,CorrectVote,2
Nate,Christian,3,CorrectVote,2
Rachel,Cirie,3,CorrectVote,2
Rachel,Ozzy,3,CorrectVote,2
Ian,Savannah,3,CorrectVote,2
Ian,Joe,3,CorrectVote,2
,Rick,3,CorrectVote,2
Rachel,Emily,3,CorrectVote,2
,Stephenie,3,CorrectVote,3
Rachel,Ozzy,3,CorrectVote,3
Rachel,Emily,3,CorrectVote,3
Nate,Christian,3,CorrectVote,3
Nate,Mike White,3,CorrectVote,3
Nate,Q,3,CorrectVote,3
Nate,Angelina,3,CorrectVote,3
Rachel,Cirie,3,TribeImmu,4
Ian,Devens,3,TribeImmu,4
Ian,Charlie,3,TribeImmu,4
Rachel,Dee,3,TribeImmu,4
,Jonathan,3,TribeImmu,4
Nate,Kamilla,3,TribeImmu,4
Rachel,Rizzo,3,TribeImmu,4
Rachel,Aubry,2,TribeReward,4
Nate,Colby,2,TribeReward,4
Ian,Tiffany,2,TribeReward,4
Rachel,Coach,2,TribeReward,4
Nate,Chrissy,2,TribeReward,4
Ian,Joe,2,TribeReward,4
Ian,Genevieve,2,TribeReward,4
Rachel,Aubry,3,TribeImmu,5
Nate,Colby,3,TribeImmu,5
Ian,Tiffany,3,TribeImmu,5
Rachel,Coach,3,TribeImmu,5
Nate,Chrissy,3,TribeImmu,5
Ian,Joe,3,TribeImmu,5
Ian,Genevieve,3,TribeImmu,5
